Metropolitan,Gender,Family_num,Elder_Household,GrandChild_Household,Single_Household,Multi_Household,Disability_status,Master_EduCode,Master_WithLive,Master_IndustryCode,Manster_Jobcode,Master_Age,Master_EmpCode,Master_MarriCode,Tenancy_Type,Housing_Type,Debt_Holding,Income_code,Assets,Liabilities,Principal_Interest,Spend_Consum,Spend_NonConsum,Master_Retired
1,1,2,1,0,0,0,0,3,2,8,8,5,3,4,1,3,1,4,40843,78,312,1366,204,1
0,2,1,0,0,0,0,0,4,1,17,2,1,1,1,3,1,1,3,1283,250,53,1020,262,1
0,2,1,1,0,0,0,0,3,1,17,9,5,2,4,2,2,0,1,11648,0,0,1079,6,1
0,1,2,0,0,0,0,0,1,2,22,11,5,4,2,1,1,1,5,84900,700,0,3420,195,2
0,2,2,0,0,0,0,0,1,2,7,9,5,2,3,3,1,0,9,898,0,0,2480,623,1
0,2,1,1,0,0,0,0,3,1,7,5,5,3,4,1,2,0,1,17451,0,0,583,26,1
1,1,3,0,0,0,0,0,4,2,7,5,2,1,2,1,2,1,6,98950,12000,692,2750,866,1
1,2,1,1,0,0,0,1,1,1,22,11,5,4,3,1,4,0,2,25100,0,0,1400,174,2
1,2,1,0,0,0,0,0,4,1,19,4,4,3,1,1,3,0,2,25600,0,0,1700,447,1
1,1,4,0,0,0,0,0,4,2,7,5,3,3,2,1,3,1,5,20288,6800,210,4075,898,1
1,1,4,0,0,0,0,0,3,2,8,7,3,1,2,1,3,1,4,13828,4689,756,2726,575,1
1,1,3,0,0,0,0,0,1,2,22,11,5,4,3,1,3,1,4,22600,1784,405,2084,365,2
1,2,1,0,0,0,0,0,3,1,3,8,2,1,1,3,3,0,1,600,0,0,2330,100,1
1,1,4,0,0,0,0,0,3,2,14,3,4,1,2,1,3,1,6,32360,9000,720,3620,984,1
1,1,1,0,0,0,0,0,4,1,7,3,3,1,1,1,4,1,4,8600,1850,270,2770,591,1
0,2,1,1,0,0,0,1,1,1,22,11,5,4,3,1,1,0,1,3037,0,0,1064,0,2
0,1,1,0,0,0,0,0,4,1,6,3,4,2,4,3,1,1,7,1438,1680,745,2634,907,1
0,2,1,1,0,0,0,0,1,1,22,11,5,4,3,1,1,0,1,23200,0,0,681,15,2
0,1,4,0,0,0,0,0,3,2,3,8,3,1,2,1,2,1,6,20497,2700,430,3866,959,1
0,1,2,1,0,0,0,0,3,2,22,11,5,4,2,1,2,0,3,18668,0,0,1830,190,1
0,2,1,1,0,0,0,1,1,1,22,11,5,4,3,3,1,0,1,1040,0,0,706,1,2
0,2,2,0,0,1,0,0,3,2,17,4,4,2,4,1,2,1,1,29920,30,185,1878,231,1
0,1,3,0,0,0,0,0,2,2,8,7,5,1,2,1,1,1,8,40779,3252,283,2870,462,1
1,2,1,1,0,0,0,0,1,1,22,11,5,4,3,2,1,0,1,2330,0,0,916,121,2
1,1,3,0,0,0,0,0,3,2,6,7,5,2,2,1,2,1,7,39350,10000,120,2900,969,1
1,1,4,0,0,0,0,0,3,2,7,5,3,2,2,2,2,1,4,25270,10000,780,3036,1252,1
1,2,1,0,0,0,0,0,4,1,7,5,2,1,1,3,4,0,4,7440,0,0,1760,427,1
1,1,2,1,0,0,0,0,1,2,8,8,5,3,2,1,2,0,6,109650,0,0,2679,526,1
1,2,1,1,0,0,0,0,3,1,22,11,5,4,3,3,1,0,1,10500,0,0,1165,214,2
1,1,2,1,0,0,0,0,4,2,22,11,5,4,2,1,2,0,5,87944,0,0,2880,65,2
0,1,3,0,0,0,0,0,3,2,8,8,4,3,2,3,1,1,9,14640,900,660,3732,1703,1
0,2,2,0,0,0,0,0,1,2,22,11,5,4,3,1,1,0,2,8300,0,0,1470,26,2
0,2,1,1,0,0,0,0,1,1,3,5,5,2,3,2,3,1,2,2592,1100,18,782,82,1
1,1,2,1,0,0,0,0,2,2,7,5,5,2,2,1,2,0,2,68580,0,0,1820,314,1
1,1,4,0,0,0,0,0,3,2,13,3,4,1,2,2,2,1,4,38540,1500,580,3810,492,1
1,2,2,0,0,0,0,1,1,2,22,11,5,4,3,2,3,0,2,15220,0,0,986,1,2
1,1,2,1,0,0,0,1,4,2,22,11,5,4,2,1,2,0,3,69250,0,0,2320,80,2
1,1,5,0,0,0,0,0,4,2,16,2,3,3,2,1,2,1,6,76270,2000,24,4850,336,1
1,1,5,0,0,0,0,0,4,2,6,3,4,1,2,1,2,1,8,67564,9800,500,3935,1452,1
1,1,2,1,0,0,0,0,4,2,22,11,5,4,2,1,2,0,2,52000,0,0,1724,182,2
1,1,2,1,0,0,0,0,4,2,14,9,5,1,2,1,3,1,4,21534,1400,910,1452,213,1
1,1,2,1,0,0,0,0,4,2,22,11,5,4,2,1,2,1,2,76210,3410,268,1550,202,2
0,1,3,0,0,0,0,0,4,3,3,2,4,1,2,1,2,1,7,31730,2772,374,4869,1086,1
1,1,2,1,0,0,0,0,1,2,22,11,5,4,2,1,3,0,3,15600,0,0,1310,38,2
1,2,1,1,0,0,0,0,3,1,3,9,5,2,3,3,3,1,4,2050,44,480,1279,146,1
1,1,3,0,0,0,0,1,4,2,3,8,4,1,2,1,2,0,7,90458,0,0,1604,751,1
1,2,1,0,0,0,0,0,3,1,3,7,4,1,4,1,2,1,6,20317,12000,1020,922,1487,1
1,2,1,1,0,0,0,0,1,1,22,11,5,4,3,1,2,0,1,31530,0,0,910,49,2
1,2,1,0,0,0,0,0,4,1,16,2,3,1,1,1,2,0,7,68128,0,0,3552,1631,1
1,1,1,1,0,0,0,0,1,1,22,11,5,4,4,2,2,0,1,3320,0,0,960,1,2
1,2,1,0,0,0,0,0,4,1,16,3,3,1,1,3,4,0,3,8570,0,0,1446,263,1
1,1,1,0,0,0,0,0,3,1,10,9,4,1,4,1,3,0,7,40624,0,0,2644,1348,1
0,1,4,0,0,0,0,0,3,2,7,5,4,1,2,2,1,1,8,16204,5000,0,4080,828,1
0,2,2,0,0,0,0,0,2,2,22,11,4,4,3,1,2,0,3,39532,0,0,2030,266,1
0,1,3,0,0,0,0,1,1,2,22,11,5,4,2,1,2,1,4,49641,320,840,3711,359,2
1,2,3,0,0,0,0,0,4,2,16,2,4,3,2,1,2,1,9,109050,4950,529,4380,1001,1
1,2,3,0,0,1,1,0,4,2,7,5,2,2,4,3,3,1,3,1460,200,800,3000,606,1
1,1,2,1,0,0,0,0,2,2,22,11,5,4,2,1,2,1,6,123050,14500,453,1020,1169,2
1,2,3,0,0,0,0,0,4,2,15,9,3,2,1,3,1,0,2,9737,0,0,2040,131,1
1,2,1,1,0,0,0,0,1,1,9,9,5,2,3,1,3,1,2,13435,40,50,854,203,1
1,1,1,0,0,0,0,0,4,1,15,4,2,1,1,3,2,1,5,9900,4700,620,1890,926,1
0,1,1,0,0,0,0,0,3,1,3,7,5,1,4,3,1,0,4,5610,0,0,1834,483,1
0,1,3,0,0,0,0,0,4,3,3,7,5,1,2,1,2,0,7,44630,0,0,3436,993,1
0,2,1,1,0,0,0,0,2,1,22,11,5,4,3,2,2,0,1,2200,0,0,885,11,2
0,2,1,0,0,0,0,0,4,1,17,2,2,1,1,2,2,0,5,38720,0,100,2820,732,1
1,2,1,1,0,0,0,0,1,1,22,11,5,4,4,3,4,0,1,1155,0,130,1385,1,2
1,1,2,0,0,0,0,0,4,2,22,11,3,4,1,3,2,0,2,289,0,0,633,2,2
1,1,4,0,0,0,0,0,3,2,3,8,4,1,2,2,1,0,7,12832,0,0,3327,833,1
1,1,2,0,0,0,0,0,2,2,15,9,5,2,2,1,2,0,8,110930,0,0,4136,966,1
1,1,1,0,0,0,0,0,4,1,7,5,2,2,1,4,2,1,1,2460,1000,737,956,239,1
1,1,2,1,0,0,0,1,1,2,22,11,5,4,2,1,2,0,1,59000,0,0,1092,88,2
1,1,1,1,0,0,0,0,2,1,22,11,5,4,4,1,3,0,1,22070,0,0,1102,167,2
1,1,2,1,0,0,0,0,2,2,15,9,5,2,2,1,3,0,2,18480,0,0,799,193,1
1,1,2,1,0,0,0,0,2,2,6,9,5,2,2,1,3,0,4,28500,0,0,1471,124,1
1,2,1,0,0,0,0,0,4,1,22,11,3,4,1,1,3,1,2,36500,600,0,747,289,1
1,1,3,0,0,0,0,0,2,2,6,7,4,1,2,1,3,1,8,24950,1000,30,4170,665,1
0,1,3,0,0,0,0,0,2,2,22,11,5,4,2,1,3,0,9,36155,0,0,2284,1183,2
0,2,1,0,0,0,0,0,2,1,22,11,5,4,1,1,3,0,2,19676,0,0,1601,187,1
0,2,1,1,0,0,0,0,1,1,17,9,5,2,4,1,3,1,1,9230,700,236,836,75,1
0,1,2,0,0,0,0,0,4,2,10,2,1,1,2,2,3,1,7,25164,10000,84,2504,853,1
0,1,3,0,0,0,0,1,3,2,22,11,5,4,2,3,1,1,2,590,300,200,1970,0,2
0,1,2,0,0,0,0,0,3,2,22,11,5,4,2,1,1,0,2,2011,0,0,508,2,2
1,2,1,1,0,0,0,0,3,1,19,7,5,3,3,3,3,0,2,7420,0,0,1289,15,1
1,2,1,1,0,0,0,0,3,1,9,4,5,2,4,1,3,1,2,9634,1500,280,960,159,1
1,2,1,1,0,0,0,0,1,1,17,4,5,2,3,2,2,0,1,9013,0,0,915,34,1
1,1,4,0,0,0,0,0,4,2,15,3,2,1,2,2,2,1,4,38654,13000,0,3192,344,1
1,2,3,0,0,1,0,0,1,2,22,11,5,4,3,1,3,1,3,40093,8652,537,1520,544,2
1,2,1,1,0,0,0,0,1,1,22,11,5,4,3,1,3,0,1,38350,0,0,589,31,2
1,1,2,1,0,0,0,1,2,2,22,11,5,4,2,1,2,0,1,46100,0,0,845,23,2
1,1,3,0,0,0,0,1,3,2,17,9,5,2,2,1,2,0,8,37310,0,0,1830,1275,1
1,1,2,0,0,0,0,0,2,2,22,11,5,4,2,1,3,1,5,102774,15000,0,1795,411,2
1,2,2,0,0,0,0,0,4,2,22,11,5,4,3,2,3,0,5,25798,0,0,1706,492,2
0,2,1,1,0,0,0,0,1,1,17,9,5,2,3,1,3,0,1,12920,0,0,926,70,1
0,1,3,0,0,0,0,0,4,2,3,2,3,1,2,1,2,1,8,47114,12714,1307,3120,1546,1
1,2,1,1,0,0,0,0,1,1,17,4,5,2,3,4,2,0,1,280,0,0,720,1,1
1,1,1,1,0,0,0,0,4,1,22,11,5,4,4,3,1,1,4,2750,1300,330,2404,244,2
1,1,1,0,0,0,0,0,3,1,7,5,4,3,4,4,4,1,3,1360,3400,0,2020,1,1
1,1,3,0,0,0,0,0,3,2,3,8,4,1,2,1,2,0,7,47698,0,180,3476,952,1
1,2,2,0,0,0,0,0,4,2,17,2,5,3,4,1,2,1,4,86000,8700,320,3044,1536,1
1,1,2,0,0,0,0,0,3,2,3,1,5,1,2,1,2,1,6,109400,2500,0,1923,548,1
1,1,3,0,0,0,0,0,3,2,22,11,5,4,2,1,1,1,3,53310,9000,0,1870,315,2
1,1,1,0,0,0,0,0,4,1,18,2,2,3,1,3,1,1,2,600,180,144,1448,66,1
1,2,1,1,0,0,0,0,1,1,22,11,5,4,3,1,3,0,1,15005,0,0,370,7,2
1,1,3,0,0,0,0,0,3,2,8,8,5,3,2,1,3,0,6,26660,0,0,2752,449,1
1,1,2,0,0,0,0,0,3,2,7,5,4,1,2,2,4,0,2,25770,0,0,1444,455,1
1,2,1,1,0,0,0,0,4,1,22,11,5,4,3,1,4,0,1,13580,0,0,586,31,2
1,1,1,1,0,0,0,0,3,1,17,9,5,2,3,2,2,0,3,34600,0,0,2316,1,1
1,2,1,0,0,0,0,0,3,1,7,5,3,2,1,3,4,1,3,3456,1776,420,2370,199,1
1,1,2,1,0,0,0,0,3,2,12,9,5,2,2,1,2,0,7,54333,0,0,2356,396,1
1,1,2,0,0,0,0,0,3,2,8,8,5,1,3,1,3,0,8,24870,0,0,3950,1272,1
1,1,2,1,0,0,0,0,3,2,22,11,5,4,2,3,1,1,5,1868,3000,0,2528,198,2
1,1,2,0,0,0,0,0,3,2,22,11,1,4,1,3,4,0,5,2980,0,0,3561,452,1
1,1,3,0,0,0,1,0,3,2,7,5,5,1,2,1,2,0,4,85200,0,0,1800,373,1
1,2,2,0,0,0,0,0,4,2,22,11,3,4,1,2,3,0,5,39600,0,0,1570,570,1
1,1,3,0,0,0,0,0,3,2,6,7,4,1,2,1,3,1,9,63600,2016,50,4648,1267,1
1,2,1,1,0,0,0,0,1,1,22,11,5,4,3,2,3,0,1,3030,0,0,568,1,2
1,2,1,0,0,0,0,0,4,1,18,2,3,3,1,2,3,0,3,28400,0,0,2090,538,1
1,2,1,0,0,0,0,0,4,1,10,3,1,1,1,3,4,0,1,3156,0,0,1396,84,1
1,1,1,0,0,0,0,0,2,1,22,11,4,4,1,1,3,1,1,26300,1500,360,1886,256,1
1,1,3,0,0,0,0,0,3,2,5,9,5,1,2,1,2,1,9,73800,14000,840,3480,1506,1
1,1,2,0,0,0,0,0,3,2,14,9,4,2,2,1,2,1,5,21220,9400,1272,2235,692,1
1,2,1,0,0,0,0,0,4,1,3,3,2,1,1,3,4,1,5,19350,400,960,3420,726,1
1,1,2,1,0,0,0,0,3,2,22,11,5,4,2,1,1,0,2,42150,0,0,1506,35,2
1,2,1,0,0,0,0,0,4,1,10,3,2,1,1,2,1,0,3,26250,0,0,1260,245,1
1,1,2,1,0,0,0,0,2,2,14,9,5,1,2,2,3,1,5,13620,4236,102,2367,116,1
1,1,1,0,0,0,0,0,3,1,22,11,3,4,1,1,3,1,6,35360,590,1300,860,579,1
1,1,2,1,0,0,0,1,1,2,22,11,5,4,2,1,1,1,5,132000,4000,0,1086,479,2
1,1,4,0,0,0,0,0,4,2,3,2,5,1,2,1,3,0,8,19246,0,330,2870,1250,1
1,1,2,1,0,0,0,0,3,2,22,11,5,4,2,3,1,0,2,25300,0,0,1736,1,2
1,2,1,1,0,0,0,0,4,1,22,11,5,4,4,3,2,0,1,1766,0,0,665,229,2
1,2,1,1,0,0,0,0,3,1,22,11,5,4,4,2,3,1,1,1600,70,300,831,0,2
1,1,2,1,0,0,0,1,4,2,22,11,5,4,2,2,3,0,3,10200,0,0,1220,66,2
1,2,2,0,0,0,0,0,1,2,22,11,5,4,3,1,3,0,3,45002,0,100,3766,280,2
1,2,2,0,0,0,0,0,1,2,9,4,5,3,4,1,3,1,4,14030,5240,1205,1986,499,1
1,1,1,0,0,0,0,0,3,1,22,11,4,4,4,4,4,0,1,10,0,0,562,60,1
1,1,4,0,0,0,1,0,3,2,3,8,4,1,2,1,2,0,8,45530,0,0,3609,822,1
1,1,1,0,0,0,0,0,3,1,8,8,4,3,1,3,2,0,3,10810,0,0,2638,208,1
1,2,2,0,0,0,0,0,3,2,22,11,5,4,4,2,2,0,4,28270,0,0,1778,277,2
1,1,2,0,0,0,0,0,4,2,7,5,3,2,2,3,1,1,3,1200,460,660,2440,505,1
