Family_ID,Metropolitan,Gender,Family_num,Elder_Household,GrandChild_Household,Single_Household,Multi_Household,Disability_status,Master_EduCode,Master_WithLive,Master_IndustryCode,Manster_Jobcode,Master_Age,Master_EmpCode,Master_MarriCode,Tenancy_Type,Housing_Type,Debt_Holding,Income_code,Assets,Liabilities,Principal_Interest,Spend_Consum,Spend_NonConsum,Master_Retired
683100342,0,2,1,1,0,0,0,0,1,1,22,11,5,4,3,4,1,0,1,6100,0,0,522,5,2
683200302,0,1,5,0,0,0,0,0,4,2,3,8,3,1,2,2,1,0,6,6014,0,0,4510,602,1
683200332,0,2,1,1,0,0,0,1,1,1,22,11,5,4,3,1,1,0,1,14850,0,0,414,58,2
683200342,0,2,1,1,0,0,0,0,1,1,1,6,5,3,2,1,1,0,3,23118,0,0,1721,88,1
683300312,0,1,1,0,0,0,0,0,3,1,7,7,3,3,1,1,1,1,5,10887,60,120,2262,1034,1
683300322,0,2,1,1,0,0,0,0,1,1,1,6,5,3,3,1,1,0,1,20123,0,0,963,169,1
683300332,0,1,3,0,0,0,0,0,3,2,6,7,3,3,2,1,2,0,7,39970,0,0,2730,443,1
683300352,0,2,1,1,0,0,0,0,1,1,1,6,5,3,3,1,1,0,2,8220,0,0,1047,217,1
683900301,0,1,2,1,0,0,0,0,1,2,1,6,5,3,2,1,1,0,2,13120,0,0,1411,78,1
690000232,0,2,2,0,0,0,0,0,3,2,17,9,4,1,3,2,2,0,7,34500,0,0,3237,1218,1
690000262,0,1,2,1,0,0,0,1,1,2,22,11,5,4,2,3,2,0,4,10130,0,0,2365,192,2
690000312,0,2,1,1,0,0,0,0,2,1,22,11,5,4,4,3,1,0,2,250,0,0,564,1,2
690000332,0,2,2,1,0,0,0,1,1,2,7,5,5,3,2,1,1,0,5,16610,0,0,1470,123,1
690000352,0,2,3,0,0,1,0,0,4,2,6,2,2,1,4,1,2,1,6,59520,4300,152,2210,745,1
690100232,0,1,1,0,0,0,0,1,4,1,22,11,4,4,2,1,1,1,6,28556,2640,360,1424,323,2
690100242,0,1,2,1,0,0,0,1,2,2,1,6,5,3,2,1,1,0,2,65030,0,0,942,42,1
690100252,0,1,2,1,0,0,0,0,1,2,1,6,5,3,2,1,1,0,3,55790,0,0,1557,104,1
690100302,0,2,1,1,0,0,0,1,1,1,22,11,5,4,4,3,3,0,1,990,0,0,662,1,2
690100322,0,1,2,1,0,0,0,1,3,2,15,9,5,2,2,4,1,0,2,12860,0,0,764,246,1
690100342,0,2,4,0,0,0,0,0,3,2,17,4,4,1,2,4,1,1,4,6798,2300,1270,3418,681,1
690100382,0,1,4,0,0,0,1,0,3,2,8,8,4,1,2,1,3,1,3,14300,4800,400,2495,563,1
690200242,0,2,1,1,0,0,0,0,1,1,22,11,5,4,3,4,1,0,1,26,0,0,581,51,2
690200262,0,2,1,0,0,0,0,0,4,1,16,2,1,3,1,3,2,0,3,3316,0,0,1818,135,1
690200332,0,1,2,1,0,0,0,0,4,2,22,11,5,4,2,1,3,0,1,51800,0,0,1785,308,2
690200392,0,1,3,0,0,1,0,0,3,2,3,7,2,1,4,3,3,1,4,1664,4300,680,3240,1046,1
690300212,0,1,1,0,0,0,0,0,4,1,8,8,1,3,1,2,1,1,8,15900,3500,500,2316,349,1
690300222,0,2,1,1,0,0,0,0,3,1,20,4,5,2,1,1,2,0,2,23750,0,0,696,150,1
690300242,0,1,2,0,0,0,0,0,4,2,15,4,2,1,2,2,3,1,6,19020,1980,0,2026,893,1
690300272,0,1,3,0,0,0,0,0,4,2,13,3,4,1,2,1,2,1,7,104675,1000,0,3235,1180,1
690300322,0,2,3,0,0,0,0,0,4,2,15,2,2,1,2,4,2,0,3,6039,0,0,2960,238,1
690300342,0,1,3,0,0,0,0,0,3,2,7,9,2,1,2,3,1,0,3,562,0,0,2710,461,1
690300352,0,1,2,1,0,0,0,0,3,2,1,6,5,3,2,1,1,1,3,49076,13000,720,1577,874,1
690300362,0,1,2,0,0,0,0,0,3,2,9,4,4,1,2,3,1,1,2,1100,300,15,3146,250,1
690300372,0,1,3,0,0,0,0,0,3,2,6,8,5,3,2,1,1,0,9,72820,0,0,3420,1184,1
690300382,0,1,4,0,0,0,0,0,3,2,10,7,3,1,2,3,3,1,7,21390,2000,530,3522,1327,1
690900221,0,2,1,1,0,0,0,0,1,1,22,11,5,4,3,4,4,0,1,248,0,0,447,77,2
690900331,0,1,5,0,0,0,0,0,4,2,6,1,4,1,2,2,2,1,9,38542,12000,460,3850,1412,1
690900341,0,1,1,0,0,0,0,0,4,1,14,7,4,1,1,1,1,0,6,25600,0,0,1870,967,1
690900361,0,2,4,0,0,0,0,0,4,2,16,4,3,1,2,3,2,1,5,10890,5100,796,2850,588,1
690900371,0,2,2,0,0,0,0,0,3,2,7,5,3,2,4,2,3,1,2,6568,8000,585,1188,440,1
691000302,0,2,1,1,0,0,0,1,1,1,22,11,5,4,3,4,1,0,1,100,0,0,365,1,2
691000312,0,1,4,0,0,0,0,1,4,2,15,9,5,2,2,1,1,0,9,66210,0,0,2850,1335,1
691000322,0,1,1,0,0,0,0,0,3,1,22,11,5,4,4,2,2,0,1,270,0,0,539,1,2
691100302,0,1,1,1,0,0,0,0,3,1,15,9,5,1,4,3,1,0,3,3282,0,0,1552,204,1
691100322,0,1,3,0,0,1,0,1,4,2,18,4,3,1,4,1,1,1,4,77140,100,0,2020,326,1
691100342,0,2,1,1,0,0,0,0,3,1,22,11,5,4,3,1,1,1,2,55300,300,0,1314,362,2
691200322,0,1,2,1,0,0,0,1,1,2,1,6,5,3,2,1,1,0,3,30150,0,50,963,216,1
691200332,0,2,1,0,0,0,0,0,4,1,16,2,4,3,4,1,3,0,7,90500,0,0,1816,249,1
691200342,0,2,1,1,0,0,0,0,1,1,22,11,5,4,3,1,1,0,1,40030,0,0,956,5,2
691200352,0,2,1,0,0,0,0,0,4,1,22,11,5,4,1,4,1,0,8,48350,0,0,2426,251,2
691200362,0,2,1,1,0,0,0,0,1,1,1,9,5,2,3,1,1,0,1,20300,0,0,410,46,1
691300302,0,1,4,0,0,0,0,0,3,2,6,7,3,1,2,3,2,1,7,32570,8000,240,3979,758,1
691300312,0,1,1,0,0,0,0,0,4,1,9,4,1,2,1,3,4,0,3,4530,0,0,1795,478,1
691300332,0,1,2,0,0,0,0,0,4,2,12,1,5,1,2,2,2,0,9,111200,0,0,2430,867,1
691300342,0,2,1,0,0,0,0,0,4,1,16,2,2,2,1,3,2,0,5,2100,0,0,4000,104,1
691300362,0,1,1,0,0,0,0,0,4,1,9,9,4,2,4,4,1,0,4,50,0,0,2212,215,1
691900231,0,1,2,0,0,0,0,1,3,2,4,7,3,1,2,3,2,0,6,10590,0,0,3192,1479,1
691900341,0,1,3,0,0,0,0,0,4,2,7,5,3,1,2,1,2,0,7,59850,0,0,2650,930,1
710000142,1,1,3,0,0,0,0,1,1,2,6,9,4,2,2,3,1,1,5,501,100,683,1210,420,1
710000152,1,1,2,1,0,0,0,0,1,2,22,11,5,4,2,2,1,1,2,21190,40,64,467,13,2
710000192,1,1,4,0,0,0,0,1,1,2,6,7,5,2,2,1,3,1,9,36120,12500,672,3240,1579,1
710000202,0,1,2,1,0,0,0,1,1,2,19,7,5,3,2,3,1,1,4,2000,381,362,1432,65,1
710000212,0,1,2,1,0,0,0,0,1,2,17,9,5,2,2,1,1,0,2,20020,0,0,1324,13,1
710000232,0,1,2,0,0,0,0,0,3,2,7,5,3,1,2,1,2,0,8,47164,0,50,2140,1379,1
710000242,0,2,1,1,0,0,0,1,1,1,15,9,5,2,3,4,1,0,1,630,0,0,650,15,1
710000282,0,1,3,0,0,0,0,0,4,2,7,5,4,3,2,1,2,1,8,53600,3000,314,3702,1180,1
710000292,0,1,2,1,0,0,0,0,3,2,22,11,5,4,2,1,2,0,1,15820,0,0,811,101,2
710000322,1,2,1,1,0,0,0,0,1,1,22,11,5,4,3,1,1,1,2,50650,6698,18,2231,71,2
710100152,1,2,2,0,0,0,0,0,3,2,6,7,5,2,4,2,2,0,4,6750,0,0,1834,112,1
710100162,1,2,1,1,0,0,0,0,2,1,22,11,5,4,1,1,2,0,1,95000,0,0,1135,344,2
710100202,0,1,1,0,0,0,0,0,3,1,6,7,3,2,1,3,4,0,2,370,0,0,1364,116,1
710100242,0,2,3,0,1,0,0,1,1,2,22,11,5,4,3,1,2,0,4,19720,0,0,2350,422,2
710100252,0,2,2,0,0,0,0,0,2,2,22,11,5,4,3,1,1,0,4,8510,0,100,2199,270,1
710100272,0,1,3,0,0,0,0,0,3,2,3,5,5,1,2,1,2,0,9,27446,0,0,2300,1312,1
